,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ
370, Beazley PLC ,13,0.0,0.0,na,na
371, Becle SAB de CV ,2,0.0,0.0,na,na
372, Becton Dickinson and Co ,54,0.0,0.0,na,na
373, Bega Cheese Ltd ,22,0.0,0.0,na,na
374, Beiersdorf AG ,31,0.0,1.0,Germany,na
375, BeiGene Ltd ,14,0.0,0.0,na,na
376, Beijing Capital International Airport Co Ltd ,20,0.0,0.0,na,na
377, Beijing Enterprises Holdings Ltd ,17,0.0,0.0,na,na
378, Beijing Enterprises Water Group Ltd ,37,0.0,0.0,na,na
379, Bellamy's Australia Ltd ,10,0.0,0.0,na,na
380, Bendigo & Adelaide Bank Ltd ,25,0.0,0.0,na,na
381, Berger Paints India Ltd ,9,0.0,0.0,na,na
382, Berkeley Group Holdings PLC ,33,0.0,0.0,na,na
383, Berkshire Hathaway Inc ,9,0.0,0.0,na,na
384, Berli Jucker PCL ,23,0.0,0.0,na,na
385, Besalco SA ,0,0.0,0.0,na,na
386, Best Buy Co Inc ,53,0.0,1.0,United States of America (USA),na
387, BGF retail Co Ltd ,2,0.0,0.0,na,na
388, Bharat Forge Ltd ,16,0.0,0.0,na,na
389, Bharat Petroleum Corp Ltd ,27,0.0,0.0,na,na
390, Bharti Airtel Ltd ,75,0.0,1.0,India,na
391, Bharti Infratel Ltd ,15,0.0,0.0,na,na
392, BHP Group Ltd ,45,0.0,0.0,na,na
393, Bic Camera Inc ,5,0.0,0.0,na,na
394, Bid Corp Ltd ,15,0.0,0.0,na,na
395, Bidvest Group Ltd ,13,0.0,0.0,na,na
396, BillerudKorsnas AB ,77,0.0,0.0,na,na
397, BIM Birlesik Magazalar AS ,7,0.0,0.0,na,na
398, Bingo Industries Ltd ,18,0.0,0.0,na,na
399, Bio-Rad Laboratories Inc ,15,0.0,0.0,na,na
400, Bio-Techne Corp ,17,0.0,0.0,na,TECH
401, Biocon Ltd ,16,0.0,0.0,na,na
402, Biogen Inc ,83,0.0,1.0,United States of America (USA),BIIB
403, BioMarin Pharmaceutical Inc ,19,0.0,0.0,na,na
404, BioMerieux ,54,0.0,0.0,na,na
405, Black Knight Inc ,10,0.0,0.0,na,na
406, Blackbaud Inc ,11,0.0,0.0,na,na
407, BlackBerry Ltd ,21,0.0,0.0,na,na
408, Blackmores Ltd ,27,0.0,0.0,na,na
409, BlackRock Inc ,48,0.0,0.0,na,na
410, Blanco y Negro SA ,0,0.0,0.0,na,na
411, BlueScope Steel Ltd ,19,0.0,0.0,na,na
412, Blumar SA ,11,0.0,0.0,na,na
413, BNK Financial Group Inc ,59,0.0,0.0,na,na
414, BNP Paribas SA ,79,0.0,1.0,France,na
415, BOC Hong Kong Holdings Ltd ,24,0.0,0.0,na,na
416, Boeing Co ,23,0.0,0.0,na,na
417, Boliden AB ,54,0.0,0.0,na,na
418, Bollore SA ,31,0.0,0.0,na,na
419, Bolsa de Valores de Lima SAA ,5,0.0,0.0,na,na
420, Bolsa Mexicana de Valores SAB de CV ,26,0.0,0.0,na,na
421, Bombardier Inc ,26,1.0,0.0,na,na
422, Booking Holdings Inc ,17,0.0,0.0,na,na
423, Booz Allen Hamilton Holding Corp ,27,0.0,0.0,na,na
424, Boral Ltd ,46,0.0,0.0,na,na
425, BorgWarner Inc ,33,0.0,0.0,na,na
426, Bosch Ltd ,14,0.0,0.0,na,na
427, Boston Properties Inc ,57,0.0,1.0,United States of America (USA),na
428, Boston Scientific Corp ,44,0.0,0.0,na,na
429, Bouygues SA ,36,0.0,0.0,na,na
430, BP PLC ,49,0.0,0.0,na,na
431, BR Malls Participacoes SA ,20,0.0,0.0,na,na
432, Brambles Ltd ,72,0.0,0.0,na,na
433, Braskem SA ,70,0.0,0.0,na,na
434, Bravura Solutions Ltd ,12,0.0,0.0,na,na
435, Brenntag AG ,31,0.0,0.0,na,na
436, Breville Group Ltd ,11,0.0,0.0,na,na
437, Brickworks Ltd ,13,0.0,0.0,na,na
438, Bridgestone Corp ,72,0.0,0.0,na,na
439, Bright Horizons Family Solutions Inc ,15,0.0,0.0,na,na
440, Brighthouse Financial Inc ,16,0.0,0.0,na,na
441, Brilliance China Automotive Holdings Ltd ,12,0.0,0.0,na,na
442, Brink's Co ,10,0.0,0.0,na,na
443, Bristol-Myers Squibb Co ,54,0.0,0.0,na,na
444, Britannia Industries Ltd ,11,0.0,0.0,na,na
445, British American Tobacco Malaysia Bhd ,35,0.0,1.0,United Kingdom (UK),na
446, British American Tobacco PLC ,83,0.0,1.0,United Kingdom (UK),na
447, British Land Co PLC ,68,0.0,0.0,na,na
448, Britvic PLC ,56,0.0,1.0,United Kingdom (UK),na
449, Brixmor Property Group Inc ,20,0.0,0.0,na,na
450, Broadcom Inc ,12,0.0,0.0,na,AVGOP
451, Broadridge Financial Solutions Inc ,19,0.0,0.0,na,na
452, Brookfield Asset Management Inc ,16,0.0,0.0,na,na
453, Brother Industries Ltd ,21,0.0,0.0,na,na
454, Brown-Forman Corp ,26,0.0,1.0,United States of America (USA),na
455, Bruker Corp ,12,0.0,0.0,na,BRKR
456, Brunswick Corp/DE ,13,0.0,0.0,na,na
457, BT Group PLC ,40,1.0,0.0,na,na
458, BTS Group Holdings PCL ,83,0.0,0.0,na,na
459, Bumrungrad Hospital PCL ,9,0.0,0.0,na,na
460, Bunge Ltd ,39,0.0,0.0,na,na
461, Bunzl PLC ,36,0.0,0.0,na,na
462, Burberry Group PLC ,85,0.0,0.0,na,na
463, Bureau Veritas SA ,75,0.0,0.0,na,na
464, BWP Trust ,13,0.0,0.0,na,na
465, BYD Co Ltd ,5,1.0,0.0,na,na
466, CA Immobilien Anlagen AG ,15,0.0,0.0,na,na
467, Cable One Inc ,8,0.0,0.0,na,na
468, Cabot Corp ,55,0.0,0.0,na,na
469, Cabot Oil & Gas Corp ,19,0.0,0.0,na,na
470, CACI International Inc ,6,0.0,0.0,na,na
471, Cadence Design Systems Inc ,14,0.0,0.0,na,CDNS
472, Cadila Healthcare Ltd ,13,0.0,0.0,na,na
